id_ligne,nom_ligne,total_flux
C01727,C,328840
C01742,A,270181
C01743,B,195104
C01728,D,173197
C01740,L,142569
C01373,3,96301
C01729,E,94414
C01739,J,91807
C01378,8,89915
C01379,9,72227
C01737,H,61154
C01374,4,56779
C01383,13,56331
C01736,N,48349
C01372,2,46368
C01377,7,42075
C01382,12,38273
C01376,6,29327
C01384,14,28929
C01375,5,27163
C01741,U,27062
C01730,P,22304
C01731,R,18638
C01371,1,17070
C01380,10,15252
C01381,11,10877
C01748,TER Normandie,7346
C01738,K,6943
C02375,TER Normandie,5549
C01863,TER Hauts-de-France,4583
C01387,7B,4313
C01746,TER Hauts-de-France,3233
C01744,TER Centre - Val de Loire,2229
C01745,TER Bourgogne - Franche-Comté,1997
C02711,V,1709
C02368,TER Centre - Val de Loire,749
C01386,3B,519
C01747,TER Grand-Est,338
C01857,TER Centre - Val-de-Loire,115
