code_commune,nom_commune,total_travailleurs_entrants
75108,Paris 8e Arrondissement,177469
75115,Paris 15e Arrondissement,176770
75113,Paris 13e Arrondissement,125024
75112,Paris 12e Arrondissement,120245
75109,Paris 9e Arrondissement,119357
75116,Paris 16e Arrondissement,115676
75117,Paris 17e Arrondissement,108544
92026,Courbevoie,97891
93066,Saint-Denis,88072
75119,Paris 19e Arrondissement,88005
92050,Nanterre,87864
92012,Boulogne-Billancourt,86205
75118,Paris 18e Arrondissement,80239
92062,Puteaux,80150
75114,Paris 14e Arrondissement,79328
75110,Paris 10e Arrondissement,79007
75111,Paris 11e Arrondissement,78805
75120,Paris 20e Arrondissement,74179
75107,Paris 7e Arrondissement,68577
75101,Paris 1er Arrondissement,64398
75102,Paris 2e Arrondissement,63748
92040,Issy-les-Moulineaux,62017
92044,Levallois-Perret,59438
93048,Montreuil,56583
94028,Créteil,56021
75105,Paris 5e Arrondissement,49377
95527,Roissy-en-France,48885
92051,Neuilly-sur-Seine,48270
78646,Versailles,44727
75106,Paris 6e Arrondissement,43778
92036,Gennevilliers,39821
92063,Rueil-Malmaison,38955
75104,Paris 4e Arrondissement,38651
91228,Évry-Courcouronnes,37305
78640,Vélizy-Villacoublay,36366
93070,Saint-Ouen-sur-Seine,35389
92024,Clichy,34651
93001,Aubervilliers,33876
78297,Guyancourt,33180
91377,Massy,32706
75103,Paris 3e Arrondissement,31655
94041,Ivry-sur-Seine,31537
92049,Montrouge,30901
94033,Fontenay-sous-Bois,30142
93055,Pantin,29937
95127,Cergy,29820
92025,Colombes,29729
93008,Bobigny,29106
95018,Argenteuil,28570
93051,Noisy-le-Grand,28041
94081,Vitry-sur-Seine,26945
93005,Aulnay-sous-Bois,26019
93073,Tremblay-en-France,25836
77288,Melun,24586
92073,Suresnes,24052
94065,Rungis,22902
94076,Villejuif,22596
92004,Asnières-sur-Seine,22058
78423,Montigny-le-Bretonneux,21422
92002,Antony,21411
77284,Meaux,21378
78498,Poissy,21373
94054,Orly,21261
91174,Corbeil-Essonnes,20481
94068,Saint-Maur-des-Fossés,19938
94017,Champigny-sur-Marne,18346
92048,Meudon,18066
78551,Saint-Germain-en-Laye,17738
92023,Clamart,17682
94080,Vincennes,17243
94046,Maisons-Alfort,17075
91477,Palaiseau,16723
95572,Saint-Ouen-l'Aumône,16520
94003,Arcueil,16175
92020,Châtillon,15694
93064,Rosny-sous-Bois,15511
77111,Chessy,15321
92064,Saint-Cloud,15051
92046,Malakoff,14845
92060,Le Plessis-Robinson,14681
95585,Sarcelles,14563
78621,Trappes,14378
91692,Les Ulis,14373
93078,Villepinte,14332
95277,Gonesse,14267
77108,Chelles,14019
93029,Drancy,13889
94018,Charenton-le-Pont,13449
94043,Le Kremlin-Bicêtre,13364
91103,Brétigny-sur-Orge,13201
93027,La Courneuve,12930
95500,Pontoise,12759
78361,Mantes-la-Jolie,12569
78490,Plaisir,12545
78208,Élancourt,12471
92009,Bois-Colombes,12366
95063,Bezons,12190
93006,Bagnolet,11975
93010,Bondy,11839
92007,Bagneux,11787
94002,Alfortville,11641
78440,Les Mureaux,11430
93007,Le Blanc-Mesnil,11392
78158,Le Chesnay-Rocquencourt,11284
78586,Sartrouville,11206
91272,Gif-sur-Yvette,11140
93053,Noisy-le-Sec,10923
77251,Lieusaint,10716
77083,Champs-sur-Marne,10605
77449,Serris,10594
94078,Villeneuve-Saint-Georges,10470
94073,Thiais,10351
94022,Choisy-le-Roi,10191
77296,Moissy-Cramayel,10140
91549,Sainte-Geneviève-des-Bois,10124
92035,La Garenne-Colombes,9749
91471,Orsay,9643
94011,Bonneuil-sur-Marne,9614
77373,Pontault-Combault,9581
93031,Épinay-sur-Seine,9561
91223,Étampes,9556
91027,Athis-Mons,9539
77186,Fontainebleau,9445
93050,Neuilly-sur-Marne,9405
77058,Bussy-Saint-Georges,9275
93072,Stains,9102
92078,Villeneuve-la-Garenne,8819
77294,Mitry-Mory,8787
78517,Rambouillet,8762
92072,Sèvres,8728
94037,Gentilly,8638
94067,Saint-Mandé,8618
93046,Livry-Gargan,8555
91161,Chilly-Mazarin,8548
91340,Lisses,8546
94052,Nogent-sur-Marne,8494
94021,Chevilly-Larue,8465
77053,Brie-Comte-Robert,8301
78172,Conflans-Sainte-Honorine,8256
93063,Romainville,8197
91687,Viry-Châtillon,8177
91689,Wissous,8160
93071,Sevran,8129
77390,Roissy-en-Brie,7946
77258,Lognes,7906
95306,Herblay-sur-Seine,7796
95268,Garges-lès-Gonesse,7772
94071,Sucy-en-Brie,7651
91086,Bondoufle,7637
91661,Villebon-sur-Yvette,7626
94034,Fresnes,7577
77131,Coulommiers,7569
77468,Torcy,7548
94015,Bry-sur-Marne,7531
92075,Vanves,7503
95203,Eaubonne,7480
95280,Goussainville,7457
91286,Grigny,7424
92019,Châtenay-Malabry,7412
95476,Osny,7291
94016,Cachan,7281
77305,Montereau-Fault-Yonne,7225
77243,Lagny-sur-Marne,7189
95607,Taverny,7157
77445,Savigny-le-Temple,7014
91345,Longjumeau,6973
91521,Ris-Orangis,6869
91201,Draveil,6836
92032,Fontenay-aux-Roses,6726
93013,Le Bourget,6705
95252,Franconville,6687
95219,Ermont,6536
78146,Chatou,6398
93047,Montfermeil,6365
77152,Dammarie-les-Lys,6358
94069,Saint-Maurice,6322
94044,Limeil-Brévannes,6313
77337,Noisiel,6249
78358,Maisons-Laffitte,6213
77379,Provins,6114
95218,Éragny,6106
91589,Savigny-sur-Orge,6075
91432,Morangis,5950
93049,Neuilly-Plaisance,5944
77487,Vaux-le-Pénil,5841
93032,Gagny,5763
94077,Villeneuve-le-Roi,5724
94019,Chennevières-sur-Marne,5714
77146,Croissy-Beaubourg,5707
93057,Les Pavillons-sous-Bois,5701
94058,Le Perreux-sur-Marne,5633
94079,Villiers-sur-Marne,5608
91235,Fleury-Mérogis,5593
93077,Villemomble,5561
93014,Clichy-sous-Bois,5528
91534,Saclay,5510
78311,Houilles,5459
77122,Combs-la-Ville,5424
92071,Sceaux,5411
93045,Les Lilas,5353
91421,Montgeron,5335
78383,Maurepas,5324
77118,Claye-Souilly,5315
95176,Cormeilles-en-Parisis,5300
77333,Nemours,5279
78117,Buc,5269
91021,Arpajon,5257
91114,Brunoy,5254
94042,Joinville-le-Pont,5181
77307,Montévrain,5081
78029,Aubergenville,5077
92014,Bourg-la-Reine,5052
92033,Garches,5009
94038,L'Haÿ-les-Roses,4986
77514,Villeparisis,4978
95680,Villiers-le-Bel,4913
95582,Sannois,4883
94004,Boissy-Saint-Léger,4812
95210,Enghien-les-Bains,4788
94074,Valenton,4767
91326,Juvisy-sur-Orge,4732
77350,Ozoir-la-Ferrière,4653
91570,Saint-Michel-sur-Orge,4619
91691,Yerres,4535
93062,Le Raincy,4491
78005,Achères,4481
91200,Dourdan,4462
95428,Montmorency,4460
91657,Vigneux-sur-Seine,4396
78123,Carrières-sous-Poissy,4233
78418,Montesson,4216
77169,Émerainville,4195
78335,Limay,4179
78073,Bois-d'Arcy,4162
