code_origine,nom_origine,lat_origine,lon_origine,code_destination,nom_destination,lat_destination,lon_destination,flux,lignes_concernees
75101,Paris 1er Arrondissement,48.862,2.3359,75102,Paris 2e Arrondissement,48.8677,2.3411,322.1816727783615,C01371;C01373;C01374;C01377;C01378;C01381;C01384;C01728;C01742;C01743
75101,Paris 1er Arrondissement,48.862,2.3359,75103,Paris 3e Arrondissement,48.8626,2.3593,65.17418759051083,C01371;C01373;C01374;C01378;C01381;C01728;C01742;C01743
75101,Paris 1er Arrondissement,48.862,2.3359,75104,Paris 4e Arrondissement,48.8541,2.3569,74.69075180541692,C01371;C01374;C01377;C01381;C01384;C01727;C01728;C01742;C01743
75101,Paris 1er Arrondissement,48.862,2.3359,75105,Paris 5e Arrondissement,48.8454,2.3514,110.86135698281205,C01374;C01377;C01727;C01743
75101,Paris 1er Arrondissement,48.862,2.3359,75106,Paris 6e Arrondissement,48.8495,2.3307,62.41210130866856,C01374;C01727;C01743
75101,Paris 1er Arrondissement,48.862,2.3359,75107,Paris 7e Arrondissement,48.8548,2.3115,135.02699240444153,C01378;C01727
75101,Paris 1er Arrondissement,48.862,2.3359,75108,Paris 8e Arrondissement,48.8732,2.3111,485.3257805915373,C01371;C01373;C01384;C01742
75101,Paris 1er Arrondissement,48.862,2.3359,75109,Paris 9e Arrondissement,48.8771,2.3379,364.10002074169574,C01373;C01374;C01377;C01378;C01384;C01742
75101,Paris 1er Arrondissement,48.862,2.3359,75110,Paris 10e Arrondissement,48.876,2.3624,142.3107983102969,C01373;C01374;C01377;C01378;C01381;C01728;C01743
75101,Paris 1er Arrondissement,48.862,2.3359,75111,Paris 11e Arrondissement,48.8601,2.3816,114.60538765324947,C01373;C01378;C01742
75101,Paris 1er Arrondissement,48.862,2.3359,75112,Paris 12e Arrondissement,48.8342,2.4173,156.77618121389412,C01378;C01742
75101,Paris 1er Arrondissement,48.862,2.3359,75113,Paris 13e Arrondissement,48.8303,2.3656,167.75681399793385,C01377;C01384;C01727
75101,Paris 1er Arrondissement,48.862,2.3359,75114,Paris 14e Arrondissement,48.8297,2.323,119.74967469152818,C01374;C01743
75101,Paris 1er Arrondissement,48.862,2.3359,75115,Paris 15e Arrondissement,48.8417,2.2937,214.39963048484748,C01378;C01727
75101,Paris 1er Arrondissement,48.862,2.3359,75116,Paris 16e Arrondissement,48.8572,2.263,204.54351789072138,C01727
75101,Paris 1er Arrondissement,48.862,2.3359,75117,Paris 17e Arrondissement,48.8874,2.305,148.11399593780354,C01373;C01727;C01728
75101,Paris 1er Arrondissement,48.862,2.3359,75118,Paris 18e Arrondissement,48.8919,2.3487,76.58140322014661,C01374;C01728;C01743
75101,Paris 1er Arrondissement,48.862,2.3359,75119,Paris 19e Arrondissement,48.8871,2.3878,101.78756063170955,
75101,Paris 1er Arrondissement,48.862,2.3359,75120,Paris 20e Arrondissement,48.8625,2.3966,79.55914735924021,C01373;C01742
75101,Paris 1er Arrondissement,48.862,2.3359,92012,Boulogne-Billancourt,48.8375,2.2429,129.13446006410777,C01727
75101,Paris 1er Arrondissement,48.862,2.3359,92026,Courbevoie,48.8976,2.2574,148.38238278085564,
